iter	Passed	Remaining
638	309874	78074
639	310426	77606
640	310906	77120
641	311376	76631
642	311844	76142
643	312304	75651
644	312773	75162
645	313239	74673
646	313712	74185
647	314177	73695
648	314646	73207
649	315112	72718
650	315572	72227
651	316041	71739
652	316512	71251
653	316969	70760
654	317424	70269
655	317886	69780
656	318350	69290
657	318810	68801
658	319272	68311
659	319740	67823
660	320207	67335
661	320676	66847
662	321141	66359
663	321612	65872
664	322074	65383
665	322548	64897
666	323015	64409
667	323481	63921
668	323948	63433
669	324425	62948
670	324961	62473
671	325433	61987
672	325899	61499
673	326396	61017
674	326863	60530
675	327348	60046
676	327806	59557
677	328283	59071
678	328754	58585
679	329232	58099
680	329706	57613
681	330190	57129
682	330673	56645
683	331147	56159
684	331615	55672
685	332086	55186
686	332545	54698
687	333017	54212
688	333484	53725
689	333960	53240
690	334434	52754
691	334894	52266
692	335370	51781
693	335837	51295
694	336331	50812
695	336789	50324
696	337254	49838
697	337711	49350
698	338180	48864
699	338666	48380
700	339126	47893
701	339589	47407
702	340064	46922
703	340530	46435
704	340997	45950
705	341476	45465
706	341933	44978
707	342402	44493
708	342871	44007
709	343348	43523
710	343815	43037
711	344283	42551
712	344759	42067
713	345222	41581
714	345697	41096
715	346159	40610
716	346658	40129
717	347138	39645
718	347601	39159
719	348066	38674
720	348528	38188
721	348988	37702
722	349453	37217
723	349912	36731
724	350417	36250
725	350886	35765
726	351345	35279
727	351807	34794
728	352272	34309
729	352740	33824
730	353209	33339
731	353679	32855
732	354143	32370
733	354609	31885
734	355072	31400
735	355541	30916
736	356004	30431
737	356473	29947
738	356939	29463
739	357411	28979
740	357883	28495
741	358346	28010
742	358817	27527
743	359284	27042
744	359755	26559
745	360214	26074
746	360675	25590
747	361137	25105
748	361606	24622
749	362079	24138
750	362543	23654
751	363012	23170
752	363470	22686
753	363939	22203
754	364408	21719
755	364875	21236
756	365342	20752
757	365827	20270
758	366297	19786
759	366758	19303
760	367229	18819
761	367690	18336
762	368151	17852
763	368618	17369
764	369084	16886
765	369549	16402
766	370013	15919
767	370473	15436
768	370936	14953
769	371411	14470
770	371877	13987
771	372339	13504
772	372809	13021
773	373268	12538
774	373723	12055
775	374207	11573
776	374689	11091
777	375175	10609
778	375637	10126
779	376116	9644
780	376586	9161
781	377053	8678
782	377532	8196
783	377999	7714
784	378468	7231
785	378928	6749
786	379391	6266
787	379855	5784
788	380316	5302
789	380785	4820
790	381256	4337
791	381737	3855
792	382208	3373
793	382677	2891
794	383136	2409
795	383624	1927
796	384114	1445
797	384619	963
798	385115	481
799	385613	0
